City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Voznesenye,RU,61.0106,35.4781,-10.55,100,100,2.62,overcast clouds
80,Lebu,CL,-37.6167,-73.65,59.52,92,13,13.76,few clouds
81,Cururupu,BR,-1.8283,-44.8683,75.47,90,94,3.51,overcast clouds
82,New Norfolk,AU,-42.7826,147.0587,73.65,35,3,3.0,clear sky
83,Mineiros,BR,-17.5694,-52.5511,68.77,91,95,3.74,overcast clouds
84,Kaitangata,NZ,-46.2817,169.8464,49.05,96,100,2.73,light rain
85,Souillac,MU,-20.5167,57.5167,80.37,87,100,17.09,light rain
86,Kieta,PG,-6.2167,155.6333,80.06,82,100,6.89,overcast clouds
87,Bubaque,GW,11.2833,-15.8333,77.11,71,0,7.07,clear sky
88,Leningradskiy,RU,69.3833,178.4167,-9.36,82,2,7.96,clear sky
89,Kalmunai,LK,7.4167,81.8167,77.11,76,6,3.31,clear sky
90,Chokurdakh,RU,70.6333,147.9167,-27.18,100,67,0.94,broken clouds
91,Deputatskiy,RU,69.3,139.9,-23.64,98,43,1.34,scattered clouds
92,Thompson,CA,55.7435,-97.8558,-20.04,69,0,5.75,clear sky
93,Cockburn Town,TC,21.4612,-71.1419,75.78,70,1,19.84,clear sky
94,Sola,VU,-13.8833,167.55,80.6,78,100,10.71,overcast clouds
95,Haines Junction,CA,60.7522,-137.5108,-0.15,99,100,3.62,light snow
96,Naze,JP,28.3667,129.4833,54.37,74,100,16.96,overcast clouds
97,Champerico,GT,14.3,-91.9167,80.35,69,15,6.62,few clouds
98,Saskylakh,RU,71.9167,114.0833,-15.02,97,100,1.81,overcast clouds
99,Iqaluit,CA,63.7506,-68.5145,-7.87,59,75,6.91,light snow
100,Vao,NC,-22.6667,167.4833,75.15,92,100,5.59,light rain
101,Ponta Do Sol,PT,32.6667,-17.1,67.01,67,25,4.09,scattered clouds
102,Yarada,IN,17.65,83.2667,73.72,88,40,2.3,mist
103,Torbay,CA,47.6666,-52.7314,38.26,89,100,24.16,light rain
104,Fuling,CN,29.7022,107.3919,50.04,57,90,0.74,overcast clouds
105,Marsa Matruh,EG,31.3525,27.2453,55.38,72,88,33.49,overcast clouds
106,Progreso,MX,21.2833,-89.6667,80.11,63,0,13.82,clear sky
107,Kodiak,US,57.79,-152.4072,38.71,81,100,17.27,haze
108,Upernavik,GL,72.7868,-56.1549,4.57,67,100,6.62,overcast clouds
109,Khatanga,RU,71.9667,102.5,-32.01,100,90,4.41,overcast clouds
110,Puerto Ayora,EC,-0.7393,-90.3518,75.54,93,7,3.0,clear sky
111,Bela,IN,25.9333,81.9833,58.17,84,12,7.43,few clouds
112,Airai,TL,-8.9266,125.4092,73.17,63,74,4.68,broken clouds
113,Elizabeth City,US,36.2946,-76.2511,64.45,80,0,12.66,clear sky
114,Pital,CO,2.2665,-75.8044,72.45,75,87,4.81,overcast clouds
115,Mareeba,AU,-17.0,145.4333,83.12,84,100,4.36,overcast clouds
116,Gejiu,CN,23.306,103.1635,45.25,71,13,5.79,few clouds
117,Tuatapere,NZ,-46.1333,167.6833,52.83,92,100,4.68,overcast clouds
118,Vaini,TO,-21.2,-175.2,86.16,79,75,10.36,broken clouds
119,Yellowknife,CA,62.456,-114.3525,-28.44,75,0,5.75,clear sky
120,Belle Fourche,US,44.6714,-103.8522,27.05,70,65,9.33,broken clouds
121,Hobyo,SO,5.3505,48.5268,74.66,76,56,14.81,broken clouds
122,Henties Bay,NA,-22.116,14.2845,65.86,88,6,5.91,clear sky
123,Karratha,AU,-20.7377,116.8463,93.4,41,75,11.88,broken clouds
124,Post Falls,US,47.718,-116.9516,31.42,91,100,4.61,mist
125,Constitucion,CL,-35.3333,-72.4167,58.37,92,47,9.19,scattered clouds
126,Auki,SB,-8.7676,160.7034,76.17,93,100,10.76,overcast clouds
127,Ronne,DK,55.1009,14.7066,40.91,93,100,12.66,mist
